time,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_6_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,joint_6_velocity,joint_1_acceleration,joint_2_acceleration,joint_3_acceleration,joint_4_acceleration,joint_5_acceleration,joint_6_acceleration,quaternion_x,quaternion_y,quaternion_z,quaternion_w
3.30000000,0.61573483,-1.35639716,-0.47517698,-0.17660938,0.10915705,0.00008405,0.30322465,-0.61372863,-0.24364945,-0.04523726,0.02789359,0.00023273,0.05794469,0.05620224,-0.01273141,0.03426092,-0.02081695,0.00015893,-0.14257981,0.33876184,-0.07908316,0.92663761
3.40000000,0.64605730,-1.41777003,-0.49954193,-0.18113311,0.11194641,0.00010733,0.30901912,-0.60810840,-0.24492260,-0.04181117,0.02581189,0.00024862,0.05997944,0.07562366,-0.00598779,0.03573196,-0.02166042,0.00015540,-0.15324791,0.35071235,-0.08458194,0.91997924
3.50000000,0.67695921,-1.47858087,-0.52403419,-0.18531423,0.11452760,0.00013219,0.31501707,-0.60054604,-0.24552137,-0.03823797,0.02364585,0.00026416,0.06178897,0.09543419,0.00110767,0.03708739,-0.02243421,0.00015111,-0.16391837,0.36223308,-0.09013921,0.91312259
3.60000000,0.70846092,-1.53863547,-0.54858633,-0.18913802,0.11689218,0.00015860,0.32119596,-0.59100262,-0.24541061,-0.03452923,0.02140243,0.00027927,0.06320281,0.11554269,0.00852667,0.03832432,-0.02313750,0.00014606,-0.17452730,0.37330206,-0.09571163,0.90610434
3.70000000,0.74058051,-1.59773573,-0.57312739,-0.19259095,0.11903242,0.00018653,0.32751624,-0.57944835,-0.24455794,-0.03069680,0.01908868,0.00029388,0.06404665,0.13584419,0.01623689,0.03943833,-0.02376842,0.00014028,-0.18501225,0.38390093,-0.10125309,0.89896515
3.80000000,0.77333214,-1.65568057,-0.59758318,-0.19566063,0.12094129,0.00021592,0.33392091,-0.56586393,-0.24293425,-0.02675297,0.01671184,0.00030790,0.06414707,0.15622210,0.02420324,0.04042350,-0.02432411,0.00013380,-0.19531316,0.39401470,-0.10671569,0.89174937
3.90000000,0.80672423,-1.71226696,-0.62187661,-0.19833592,0.12261248,0.00024671,0.34033562,-0.55024172,-0.24051393,-0.02271062,0.01427943,0.00032128,0.06333620,0.17655074,0.03238883,0.04127265,-0.02480083,0.00012666,-0.20537330,0.40363136,-0.11205098,0.88450444
4.00000000,0.84075779,-1.76729113,-0.64592800,-0.20060698,0.12404042,0.00027884,0.34666924,-0.53258665,-0.23727504,-0.01858335,0.01179934,0.00033395,0.06145592,0.19669801,0.04075590,0.04197758,-0.02519415,0.00011889,-0.21514028,0.41274127,-0.11721145,0.87728032
4.10000000,0.87542472,-1.82054980,-0.66965550,-0.20246532,0.12522035,0.00031223,0.35281483,-0.51291685,-0.23319946,-0.01438559,0.00927993,0.00034584,0.05836145,0.21652807,0.04926633,0.04252948,-0.02549919,0.00011055,-0.22456688,0.42133659,-0.12215241,0.87012871
4.20000000,0.91070620,-1.87184148,-0.69297545,-0.20390388,0.12614835,0.00034682,0.35865097,-0.49126404,-0.22827282,-0.01013264,0.00673001,0.00035689,0.05392442,0.23590372,0.05788190,0.04291937,-0.02571091,0.00010166,-0.23361174,0.42941060,-0.12683400,0.86310209
