time,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_6_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,joint_6_velocity,joint_1_acceleration,joint_2_acceleration,joint_3_acceleration,joint_4_acceleration,joint_5_acceleration,joint_6_acceleration,quaternion_x,quaternion_y,quaternion_z,quaternion_w
4.00000000,-1.61357250,1.01320864,2.29023518,-0.06663989,0.29045024,-0.00012879,-0.45771487,0.60423654,0.01612235,-0.16237162,0.15489233,-0.00051009,0.23250549,-0.03589331,-0.58863299,-0.04518326,-0.01285647,-0.00013162,-0.21651663,-0.17207722,0.09815316,0.95596858
4.10000000,-1.65934398,1.07363230,2.29184742,-0.08287705,0.30593948,-0.00017980,-0.43446433,0.60064721,-0.04274095,-0.16688995,0.15360669,-0.00052325,0.25734392,-0.06513271,-0.57850566,-0.03709459,-0.02021897,-0.00010212,-0.22230590,-0.17031523,0.09964360,0.95480048
4.20000000,-1.70279042,1.13369702,2.28757332,-0.09956604,0.32130015,-0.00023212,-0.40872993,0.59413394,-0.10059152,-0.17059941,0.15158479,-0.00053346,0.28136003,-0.09468600,-0.56529521,-0.02876467,-0.02763782,-0.00007169,-0.22792689,-0.16857283,0.10108702,0.95363197
4.30000000,-1.74366341,1.19311041,2.27751417,-0.11662599,0.33645862,-0.00028547,-0.38059393,0.58466534,-0.15712104,-0.17347588,0.14882101,-0.00054063,0.30434648,-0.12438737,-0.54912091,-0.02023466,-0.03506799,-0.00004050,-0.23337834,-0.16690628,0.10248453,0.95245669
4.40000000,-1.78172280,1.25157694,2.26180207,-0.13397357,0.35134073,-0.00033953,-0.35015928,0.57222660,-0.21203313,-0.17549934,0.14531421,-0.00054468,0.32612223,-0.15405855,-0.53010582,-0.01154137,-0.04246509,-0.00000868,-0.23865848,-0.16536883,0.10383091,0.95126990
4.50000000,-1.81673873,1.30879960,2.24059875,-0.15152351,0.36587215,-0.00039400,-0.31754706,0.55682075,-0.26504371,-0.17665348,0.14106770,-0.00054555,0.34653110,-0.18350899,-0.50837863,-0.00271757,-0.04978542,0.00002360,-0.24376567,-0.16400883,0.10511654,0.95006837
4.60000000,-1.84849344,1.36448168,2.21409438,-0.16918885,0.37997892,-0.00044856,-0.28289395,0.53846985,-0.31588157,-0.17692524,0.13608916,-0.00054319,0.36543950,-0.21253727,-0.48407610,0.00620738,-0.05698607,0.00005617,-0.24869843,-0.16286803,0.10632956,0.94885041
4.70000000,-1.87678283,1.41832866,2.18250623,-0.18688138,0.39358783,-0.00050288,-0.24635000,0.51721612,-0.36428918,-0.17630450,0.13039055,-0.00053757,0.38273358,-0.24093371,-0.45734594,0.01520685,-0.06402505,0.00008886,-0.25345479,-0.16198015,0.10745804,0.94761588
4.80000000,-1.90141783,1.47005028,2.14607731,-0.20451183,0.40662689,-0.00055663,-0.20807664,0.49312275,-0.41002378,-0.17478381,0.12398804,-0.00052869,0.39831594,-0.26848411,-0.42834973,0.02425608,-0.07086138,0.00012144,-0.25803119,-0.16136985,0.10849186,0.94636631
4.90000000,-1.92222550,1.51936255,2.10507493,-0.22199021,0.41902569,-0.00060950,-0.16824505,0.46627434,-0.45285875,-0.17235820,0.11690191,-0.00051654,0.41210172,-0.29497424,-0.39726581,0.03333110,-0.07745516,0.00015369,-0.26242089,-0.16105238,0.10942429,0.94510514
